"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"48","Zach Charbonnet (SEA)","108","462","4.3","23","4","1","33","40","209","6.3","0","0","16","73.1","4.6","62.4%"
"49","Samaje Perine (DEN)","53","238","4.5","24","1","1","50","56","455","9.1","0","2","17","71.3","4.2","12.5%"
"50","Dameon Pierce (HOU)","145","416","2.9","22","1","2","13","17","101","7.8","0","0","14","69.7","5.0","27.8%"
"51","Roschon Johnson (CHI)","81","352","4.3","29","2","2","34","40","209","6.1","0","0","15","68.1","4.5","13.7%"
"52","Kenneth Gainwell (PHI)","84","364","4.3","32","3","2","30","37","183","6.1","0","1","16","67.4","4.2","14.8%"
"53","Latavius Murray (FA)","79","300","3.8","29","2","4","17","22","119","7.0","0","0","16","65.9","4.1","7.6%"
"54","Keaton Mitchell (BAL)","47","396","8.4","60","7","2","9","11","93","10.3","0","0","7","60.9","8.7","17.2%"
"55","Miles Sanders (CAR)","129","432","3.3","48","1","1","27","41","154","5.7","0","2","16","60.6","3.8","22.2%"
"56","Jerick McKinnon (FA)","21","60","2.9","10","0","1","25","32","192","7.7","4","0","12","59.4","5.0","16.1%"
"57","Zamir White (LV)","104","451","4.3","43","2","1","15","19","98","6.5","0","1","15","58.9","3.9","74.2%"
"58","Joshua Kelley (FA)","107","405","3.8","49","2","2","8","12","32","4.0","0","1","17","53.7","3.2","6.6%"
"59","Clyde Edwards-Helaire (KC)","70","223","3.2","20","1","1","17","22","188","11.1","1","0","15","53.1","3.5","24.2%"
"60","Emari Demercado (ARI)","58","284","4.9","49","1","2","21","30","119","5.7","0","0","14","52.3","3.7","2.1%"
"61","Royce Freeman (DAL)","77","319","4.1","23","1","2","1","2","13","13.0","0","0","11","45.2","4.1","3.2%"
"62","Jamaal Williams (NO)","106","306","2.9","17","0","1","18","20","62","3.4","0","0","13","42.8","3.3","10.4%"
"63","Jordan Mason (SF)","40","206","5.2","26","1","3","3","4","31","10.3","0","0","16","41.7","2.6","2.4%"
"64","Elijah Mitchell (SF)","75","281","3.7","18","0","2","6","8","14","2.3","0","0","11","41.5","3.8","10.5%"
"65","Chase Brown (CIN)","44","179","4.1","31","2","0","14","15","156","11.1","1","0","12","39.5","3.3","43.0%"
"66","Pierre Strong Jr. (CLE)","63","291","4.6","40","2","1","5","8","47","9.4","0","1","17","37.8","2.2","0.6%"
"67","Chris Rodriguez Jr. (WAS)","51","247","4.8","16","0","2","2","2","12","6.0","0","1","11","35.9","3.3","1.2%"
"68","Cam Akers (HOU)","60","167","2.8","19","0","2","11","12","70","6.4","0","0","7","35.7","5.1","9.3%"
"69","Michael Carter (ARI)","30","187","6.2","21","1","0","24","31","101","4.2","1","0","15","34.8","2.3","1.3%"
"70","Darrell Henderson Jr. (FA)","46","112","2.4","16","0","2","10","14","103","10.3","0","0","4","33.5","8.4","5.0%"
"71","Kendre Miller (NO)","41","156","3.8","18","0","1","10","11","117","11.7","0","0","8","33.3","4.2","18.8%"
"72","Matt Breida (SF)","55","151","2.7","9","0","1","17","21","88","5.2","0","0","17","29.9","1.8","1.1%"
"73","Cordarrelle Patterson (PIT)","50","181","3.6","18","0","0","9","12","38","4.2","1","0","14","27.9","2.0","1.3%"
"74","Jeff Wilson Jr. (MIA)","41","188","4.6","15","0","0","14","17","85","6.1","0","0","10","27.3","2.7","6.7%"
"75","Salvon Ahmed (MIA)","22","61","2.8","10","0","1","16","23","88","5.5","1","0","9","26.9","3.0","0.6%"
"76","Chase Edmonds (TB)","49","176","3.6","21","1","0","14","17","81","5.8","0","0","13","25.7","2.0","0.8%"
"77","Ty Johnson (BUF)","30","132","4.4","13","0","0","7","7","62","8.9","1","0","9","25.4","2.8","0.5%"
"78","Tony Jones Jr. (ARI)","26","95","3.7","19","0","2","7","10","37","5.3","0","0","7","25.2","3.6","0.0%"
"79","Dalvin Cook (FA)","67","214","3.2","14","0","0","15","20","78","5.2","0","2","15","25.2","1.7","9.3%"
"80","D'Ernest Johnson (JAC)","41","108","2.6","19","0","0","10","12","140","14.0","0","0","17","24.8","1.5","2.7%"
"81","Craig Reynolds (DET)","41","179","4.4","19","0","1","5","5","47","9.4","0","2","15","24.6","1.6","0.7%"
"82","Kyle Juszczyk (SF)","5","6","1.2","3","0","0","14","17","119","8.5","2","0","17","24.5","1.4","0.8%"
"83","Darrynton Evans (BUF)","32","121","3.8","13","0","1","7","12","49","7.0","0","0","6","23.0","3.8","0.1%"
"84","Ameer Abdullah (LV)","15","89","5.9","12","0","0","19","24","131","6.9","0","0","17","22.0","1.3","0.8%"
"85","Tank Bigsby (JAC)","50","132","2.6","12","0","2","1","4","6","6.0","0","2","16","21.8","1.4","3.9%"
"86","Nick Chubb (CLE)","28","170","6.1","20","1","0","4","4","21","5.3","0","0","2","19.1","9.6","54.2%"
"87","Patrick Taylor Jr. (SF)","32","141","4.4","24","1","0","11","17","49","4.5","0","0","11","19.0","1.7","2.0%"
"88","Kevin Harris (NE)","16","65","4.1","18","0","1","3","3","58","19.3","0","0","4","18.3","4.6","0.2%"
"89","Trey Sermon (IND)","35","160","4.6","27","1","0","3","6","13","4.3","0","0","12","17.3","1.4","0.9%"
"90","Damien Harris (FA)","23","94","4.1","11","0","1","2","2","16","8.0","0","0","7","17.0","2.4","4.6%"
"91","Melvin Gordon III (FA)","26","81","3.1","22","1","1","3","3","46","15.3","0","1","4","16.7","4.2","0.0%"
"92","Ronnie Rivers (LAR)","32","129","4.0","10","0","0","5","5","22","4.4","0","0","9","15.1","1.7","0.6%"
"93","Isaiah Spiller (LAC)","37","96","2.6","8","0","0","6","6","34","5.7","0","0","9","13.0","1.4","0.7%"
"94","Tyler Goodson (IND)","13","87","6.7","31","1","0","6","9","34","5.7","0","0","6","12.1","2.0","0.1%"
"95","Alec Ingold (MIA)","2","0","0.0","0","0","0","13","16","119","9.2","0","0","17","11.9","0.7","0.1%"
"96","Boston Scott (LAR)","20","86","4.3","18","0","0","4","6","52","13.0","0","1","12","11.8","1.0","0.1%"
"97","Patrick Ricard (BAL)","0","0","0","0","0","0","5","7","52","10.4","1","0","17","11.2","0.7","0.1%"
"98","Brandon Bolden (FA)","4","31","7.8","26","1","1","0","0","0","0","0","0","5","11.1","2.2","0.0%"
"99","Raheem Blackshear (CAR)","14","46","3.3","9","0","0","6","7","45","7.5","0","0","11","11.1","1.0","0.1%"
"100","La'Mical Perine (PIT)","22","77","3.5","10","0","0","3","5","33","11.0","0","0","5","11.0","2.2","0.1%"
"101","Emanuel Wilson (GB)","14","85","6.1","31","1","0","4","5","23","5.8","0","0","7","10.8","1.5","0.1%"
"102","Chris Brooks (MIA)","19","106","5.6","52","2","0","0","0","0","0","0","0","4","10.6","2.7","0.0%"
"103","Keaontay Ingram (KC)","35","74","2.1","14","0","0","4","4","26","6.5","0","0","7","10.0","1.4","1.1%"
"104","Hunter Luepke (DAL)","6","19","3.2","9","0","1","3","4","18","6.0","0","0","17","9.7","0.6","0.1%"
"105","J.K. Dobbins (LAC)","8","22","2.8","4","0","1","2","3","15","7.5","0","0","1","9.7","9.7","45.2%"
"106","Israel Abanikanda (NYJ)","22","70","3.2","12","0","0","7","11","43","6.1","0","1","7","9.3","1.3","0.5%"
"107","Nick Bawden (FA)","2","4","2.0","3","0","1","3","3","21","7.0","0","0","16","8.5","0.5","0.0%"
"108","Dare Ogunbowale (HOU)","8","35","4.4","17","0","0","2","7","18","9.0","0","0","10","8.3","0.8","0.3%"
"109","Deuce Vaughn (DAL)","23","40","1.7","13","0","0","7","7","40","5.7","0","0","7","8.0","1.1","1.1%"
"110","Trayveon Williams (CIN)","15","69","4.6","15","0","0","7","9","10","1.4","0","0","17","7.9","0.5","0.3%"
"111","Eric Gray (NYG)","17","48","2.8","12","0","0","6","7","22","3.7","0","0","14","7.0","0.5","0.8%"
"112","Gary Brightwell (JAC)","9","19","2.1","5","0","0","5","7","47","9.4","0","0","4","6.6","1.7","0.0%"
"113","Mike Boone (CAR)","5","23","4.6","11","0","0","7","9","40","5.7","0","0","9","6.3","0.7","0.0%"
"114","Damien Williams (FA)","11","43","3.9","9","0","0","2","2","12","6.0","0","0","3","5.5","1.8","0.0%"
"115","Ty Montgomery II (FA)","3","9","3.0","7","0","0","5","12","40","8.0","0","0","13","4.9","0.4","0.0%"
"116","Ke'Shawn Vaughn (SF)","24","42","1.8","9","0","0","2","5","2","1.0","0","0","5","4.4","0.9","0.0%"
"117","Leonard Fournette (FA)","12","40","3.3","9","0","0","0","0","0","0","0","0","2","4.0","2.0","2.1%"
"118","Rashaad Penny (FA)","11","33","3.0","7","0","0","1","1","5","5.0","0","0","3","3.8","1.3","4.1%"
"119","Michael Burton (DEN)","7","9","1.3","4","0","0","3","3","8","2.7","0","0","17","3.7","0.2","0.0%"
"120","Keith Smith (FA)","0","0","0","0","0","0","3","3","33","11.0","0","0","13","3.3","0.3","0.0%"
"121","C.J. Ham (MIN)","1","7","7.0","7","0","0","7","9","25","3.6","0","0","17","3.2","0.2","0.1%"
"122","Sean Tucker (TB)","15","23","1.5","7","0","0","2","2","9","4.5","0","0","5","3.2","0.6","0.1%"
"123","Khari Blasingame (CHI)","8","26","3.3","6","0","0","3","6","2","0.7","0","0","16","2.8","0.2","0.1%"
"124","Derrick Gore (FA)","3","26","8.7","23","1","0","0","0","0","0","0","0","5","2.6","0.5","0.0%"
"125","Jake Funk (DET)","2","10","5.0","7","0","0","1","1","12","12.0","0","0","1","2.2","2.2","0.0%"
"126","DeeJay Dallas (ARI)","10","36","3.6","8","0","0","6","9","26","4.3","0","2","17","2.2","0.1","0.6%"
"127","Tyrion Davis-Price (PHI)","6","21","3.5","15","0","0","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"128","Zonovan Knight (DET)","3","13","4.3","8","0","0","1","1","8","8.0","0","0","2","2.1","1.1","0.1%"
"129","Zach Evans (LAR)","9","19","2.1","5","0","0","0","0","0","0","0","0","4","1.9","0.5","0.6%"
"130","Elijah Dotson (LAC)","4","6","1.5","2","0","0","2","2","13","6.5","0","0","4","1.9","0.5","0.0%"
"131","Kene Nwangwu (MIN)","5","13","2.6","8","0","0","0","0","0","0","0","0","8","1.3","0.2","0.1%"
"132","Jashaun Corbin (FA)","1","1","1.0","1","0","0","3","3","12","4.0","0","0","3","1.3","0.4","0.0%"
"133","Alex Armah Jr. (FA)","0","0","0","0","0","0","3","3","13","4.3","0","0","7","1.3","0.2","0.0%"
"134","Devine Ozigbo (FA)","3","5","1.7","4","0","0","1","1","8","8.0","0","0","2","1.3","0.7","0.0%"
"135","Jacob Johnson (FA)","0","0","0","0","0","0","1","2","12","12.0","0","0","13","1.2","0.1","0.0%"
"136","Jonathan Ward (PIT)","3","11","3.7","8","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"137","Kenyan Drake (FA)","2","0","0.0","0","0","0","2","3","31","15.5","0","1","3","1.1","0.4","0.0%"
"138","Chris Evans (CIN)","2","12","6.0","7","0","0","1","1","-1","-1.0","0","0","7","1.1","0.2","0.1%"
"139","Anthony McFarland Jr. (FA)","0","0","0","0","0","0","2","2","11","5.5","0","0","3","1.1","0.4","0.0%"
"140","Evan Hull (IND)","1","1","1.0","1","0","0","1","1","6","6.0","0","0","1","0.7","0.7","0.7%"
"141","Adam Prentice (NO)","2","12","6.0","7","0","0","2","3","12","6.0","0","1","13","0.4","0.0","0.0%"
"142","Reggie Gilliam (BUF)","0","0","0","0","0","0","1","1","3","3.0","0","0","16","0.3","0.0","0.0%"
"143","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"144","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","JaMycal Hasty (NE)","0","0","0","0","0","0","0","2","0","0","0","0","2","0.0","0.0","0.1%"
"146","James Robinson (NO)","1","2","2.0","2","0","0","1","1","-2","-2.0","0","0","1","0.0","0.0","0.0%"
"147","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Travis Homer (CHI)","0","0","0","0","0","0","0","1","0","0","0","0","9","0.0","0.0","0.1%"
"149","Andrew Beck (HOU)","5","3","0.6","2","0","1","11","13","55","5.0","2","1","15","0.0","0.0","0.1%"
"150","Austin Walter (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"151","Demetric Felton Jr. (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"153","Elijah Collins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Mohamed Ibrahim (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"156","Trey Benson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64.7%"
"157","Xazavian Valladay (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"159","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"160","Jack Colletto (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","SaRodorick Thompson Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"162","Derek Parish (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"163","Lew Nichols III (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Henry Pearson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"165","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"166","Jabari Small (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Aaron Shampklin (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Tyreik McAllister (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"171","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Michael Wiley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Ramon Jefferson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"175","Louis Rees-Zammit (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"176","Aidan Robbins (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Austin Jones (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"179","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"180","Carson Steele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Jaden Shirden (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Kimani Vidal (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"184","Emani Bailey (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"186","Sione Vaki (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"187","Dillon Johnson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Jacob Kibodi (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Sam Schnee (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Jalen Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Terrell Jennings (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Lorenzo Lingard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Trent Pennix (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Chris Collier (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","British Brooks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Jarveon Howard (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Kobe Lewis (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Nathaniel Peat (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Cody Schrader (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Dylan Laube (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"202","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"203","Ellis Merriweather (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Owen Wright (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Bucky Irving (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"206","Jordan Mims (NO)","0","0","0","0","0","0","0","2","0","0","0","0","3","0.0","0.0","0.0%"
"207","Deneric Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"208","Levi Bell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Zavier Scott (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Robert Burns (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Jacob Saylors (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Ray Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5%"
"214","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.4%"
"215","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"216","Jaylen Wright (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2%"
"217","Daijun Edwards (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Braelon Allen (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"219","Will Shipley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"220","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","D.J. Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Keilan Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"223","Jase McClellan (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"224","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Blake Corum (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.8%"
"226","Snoop Conner (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Kendall Milton (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Tyrone Tracy Jr. (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"229","Audric Estime (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"230","Tyler Badie (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"232","Zander Horvath (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Bryant Koback (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"235","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.7%"
"236","Noah Cain (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Steele Chambers (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Ben Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"239","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"240","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
