Player,Pos.,Team,Rec,Tgt,RecYds,RecTD
Christian McCaffrey,RB,SFO,3,5,17,0
Jonathan Mingo,WR,CAR,2,5,17,0
,,,,,,
Joe Mixon,RB,CIN,3,5,17,0
Irv Smith Jr.,TE,CIN,3,5,17,0
Cole Turner,TE,WAS,1,2,17,0
Quez Watkins,WR,PHI,2,2,17,0
Brock Wright,TE,DET,2,2,17,0
Damien Harris,RB,BUF,2,2,16,0
Laviska Shenault Jr.,WR,CAR,2,2,16,0
J.K. Dobbins,RB,BAL,2,3,15,0
Darius Slayton,WR,NYG,3,5,15,0
DeeJay Dallas,RB,SEA,1,1,14,0
Ezekiel Elliott,RB,NWE,5,7,14,0
Deon Jackson,RB,IND,5,6,14,0
Tyler Scott,WR,CHI,2,2,14,0
Raheem Mostert,RB,MIA,2,2,13,0
Jaxon Smith-Njigba,WR,SEA,3,5,13,0
Jordan Akins,TE,CLE,1,1,12,0
Saquon Barkley,RB,NYG,3,4,12,0
Blake Bell,TE,KAN,2,3,12,1
Michael Carter,RB,NYJ,2,2,12,0
Jake Funk,RB,IND,1,1,12,0
Donovan Peoples-Jones,WR,CLE,1,2,12,0
Tony Pollard,RB,DAL,2,3,12,0
Adam Thielen,WR,CAR,2,2,12,0
Jaylen Warren,RB,PIT,5,6,12,0
Jake Ferguson,TE,DAL,2,7,11,0
Lil'Jordan Humphrey,WR,DEN,2,2,11,1
Anthony McFarland Jr.,RB,PIT,2,2,11,0
Teagan Quitoriano,TE,HOU,1,1,11,0
KaVontae Turpin,WR,DAL,2,3,11,0
Tyler Boyd,WR,CIN,2,3,10,0
Michael Gallup,WR,DAL,1,2,10,0
Antonio Gibson,RB,WAS,1,1,10,0
Tyler Lockett,WR,SEA,2,4,10,0
Alexander Mattison,RB,MIN,3,4,10,1
Jerick McKinnon,RB,KAN,1,2,10,0
Deven Thompkins,WR,TAM,2,3,10,0
Rachaad White,RB,TAM,2,2,10,0
Deonte Harty,WR,BUF,3,4,9,0
Chuba Hubbard,RB,CAR,2,2,9,0
Xavier Hutchinson,WR,HOU,1,1,9,0
Quentin Johnston,WR,LAC,2,3,9,0
Christian Kirk,WR,JAX,1,3,9,0
Marvin Mims,WR,DEN,2,2,9,0
Ty Montgomery,RB,NWE,2,3,9,0
Latavius Murray,RB,BUF,1,2,9,0
,,,,,,
Dameon Pierce,RB,HOU,2,3,9,0
Sean Tucker,RB,TAM,2,2,9,0
James Conner,RB,ARI,5,5,8,0
D'Onta Foreman,RB,CHI,2,3,8,0
Marvin Jones,WR,DET,2,6,8,0
Trey Palmer,WR,TAM,2,3,8,1
Colby Parkinson,TE,SEA,1,2,8,0
Clyde Edwards-Helaire,RB,KAN,1,1,7,0
C.J. Ham,FB,MIN,2,3,7,0
Brian Robinson Jr.,RB,WAS,1,2,7,1
Boston Scott,RB,PHI,1,1,7,0
Jamaal Williams,RB,NOR,2,2,7,0
Gary Brightwell,RB,NYG,2,2,6,0
Evan Hull,RB,IND,1,1,6,0
Richie James,WR,KAN,1,2,6,0
Justyn Ross,WR,KAN,1,1,6,0
Harrison Bryant,TE,CLE,2,2,5,1
DeAndre Carter,WR,LVR,1,1,5,0
Derius Davis,WR,LAC,1,1,5,0
Alec Pierce,WR,IND,1,3,5,0
