,Player,Pos.,Team,PassYds,PassTD,Int,PassAtt,Cmp,Rec,Tgt,RecYds,RecTD,RushYds,RushAtt,RushTD,FantPoints
205,Noah Gray,TE,KAN,0,0,0,0,0,3,5,31,0,0,0,0,6.1
206,Odell Beckham Jr.,WR,BAL,0,0,0,0,0,2,3,37,0,0,0,0,5.7
207,Patrick Mahomes,QB,KAN,226,2,1,39,21,0,0,0,0,45,6,0,19.54
208,Patrick Taylor,RB,GNB,0,0,0,0,0,0,0,0,0,22,5,0,2.2
209,Puka Nacua,WR,LAR,0,0,0,0,0,10,15,119,0,0,0,0,21.9
210,Quentin Johnston,WR,LAC,0,0,0,0,0,2,3,9,0,0,0,0,2.9
211,Quez Watkins,WR,PHI,0,0,0,0,0,2,2,17,0,0,0,0,3.7
212,Rachaad White,RB,TAM,0,0,0,0,0,2,2,10,0,39,17,0,6.9
213,Raheem Mostert,RB,MIA,0,0,0,0,0,2,2,13,0,37,10,1,13.0
214,Rakim Jarrett,WR,TAM,0,0,0,0,0,0,0,0,0,0,1,0,0.0
215,Rashee Rice,WR,KAN,0,0,0,0,0,3,5,29,1,-3,1,0,11.6
216,Rashid Shaheed,WR,NOR,0,0,0,0,0,5,6,89,1,11,2,0,21.0
217,Rashod Bateman,WR,BAL,0,0,0,0,0,3,3,35,0,0,0,0,6.5
218,Rhamondre Stevenson,RB,NWE,0,0,0,0,0,6,6,64,0,25,12,0,14.9
219,Richie James,WR,KAN,0,0,0,0,0,1,2,6,0,0,0,0,1.6
220,Rico Dowdle,RB,DAL,0,0,0,0,0,0,0,0,0,24,6,0,2.4
221,River Cracraft,WR,MIA,0,0,0,0,0,3,5,40,1,0,0,0,13.0
222,Robert Woods,WR,HOU,0,0,0,0,0,6,10,57,0,0,0,0,11.7
223,Romeo Doubs,WR,GNB,0,0,0,0,0,4,5,26,2,0,0,0,18.6
224,Rondale Moore,WR,ARI,0,0,0,0,0,3,3,33,0,12,2,0,7.5
225,Roschon Johnson,RB,CHI,0,0,0,0,0,6,7,35,0,20,5,1,17.5
226,Russell Wilson,QB,DEN,177,2,0,34,27,0,0,0,0,1,1,0,15.18
227,Ryan Tannehill,QB,TEN,198,0,3,34,16,0,0,0,0,5,3,0,2.42
228,Salvon Ahmed,RB,MIA,0,0,0,0,0,0,0,0,0,11,3,0,1.1
229,Sam Darnold,QB,SFO,0,0,0,0,0,0,0,0,0,-2,2,0,-0.2
230,Sam Howell,QB,WAS,202,1,1,31,19,0,0,0,0,11,2,1,17.18
231,Sam LaPorta,TE,DET,0,0,0,0,0,5,5,39,0,0,0,0,8.9
232,Samaje Perine,RB,DEN,0,0,0,0,0,4,4,37,0,41,8,0,11.8
233,Samori Toure,WR,GNB,0,0,0,0,0,2,3,18,0,0,0,0,3.8
234,Saquon Barkley,RB,NYG,0,0,0,0,0,3,4,12,0,51,12,0,9.3
235,Sean Clifford,QB,GNB,0,0,0,0,0,0,0,0,0,0,1,0,0.0
236,Sean Tucker,RB,TAM,0,0,0,0,0,2,2,9,0,15,5,0,4.4
237,Skyy Moore,WR,KAN,0,0,0,0,0,0,0,0,0,4,1,0,0.4
238,Stefon Diggs,WR,BUF,0,0,0,0,0,10,13,102,1,0,0,0,26.2
239,T.J. Hockenson,TE,MIN,0,0,0,0,0,8,9,35,0,0,0,0,11.5
240,Tank Bigsby,RB,JAX,0,0,0,0,0,0,0,0,0,13,7,1,7.3
241,Tank Dell,WR,HOU,0,0,0,0,0,3,4,34,0,0,0,0,6.4
242,Taysom Hill,QB,NOR,0,0,0,0,0,0,0,0,0,4,3,0,0.4
243,Teagan Quitoriano,TE,HOU,0,0,0,0,0,1,1,11,0,0,0,0,2.1
244,Terrace Marshall Jr.,WR,CAR,0,0,0,0,0,2,6,23,0,0,0,0,4.3
245,Terry McLaurin,WR,WAS,0,0,0,0,0,2,4,31,0,0,0,0,5.1
246,Tony Jones,RB,NOR,0,0,0,0,0,0,0,0,0,5,1,0,0.5
247,Tony Pollard,RB,DAL,0,0,0,0,0,2,3,12,0,70,14,2,22.2
248,Travis Etienne,RB,JAX,0,0,0,0,0,5,5,27,0,77,18,1,21.4
249,Trayveon Williams,RB,CIN,0,0,0,0,0,0,0,0,0,7,2,0,0.7
250,Trevor Lawrence,QB,JAX,241,2,1,32,24,0,0,0,0,21,7,0,17.740000000000002
251,Trey McBride,TE,ARI,0,0,0,0,0,2,2,23,0,0,0,0,4.3
252,Trey Palmer,WR,TAM,0,0,0,0,0,2,3,8,1,0,0,0,8.8
253,Treylon Burks,WR,TEN,0,0,0,0,0,2,3,18,0,9,1,0,4.7
254,Tua Tagovailoa,QB,MIA,466,3,1,45,28,0,0,0,0,5,5,0,29.14
255,Tutu Atwell,WR,LAR,0,0,0,0,0,6,8,119,0,0,0,0,17.9
256,Ty Chandler,RB,MIN,0,0,0,0,0,1,1,18,0,0,3,0,2.8
257,Ty Montgomery,RB,NWE,0,0,0,0,0,2,3,9,0,7,1,0,3.5999999999999996
258,Tyjae Spears,RB,TEN,0,0,0,0,0,0,0,0,0,27,3,0,2.7
259,Tyler Allgeier,RB,ATL,0,0,0,0,0,3,3,19,0,75,15,2,24.4
260,Tyler Boyd,WR,CIN,0,0,0,0,0,2,3,10,0,0,0,0,3.0
261,Tyler Higbee,TE,LAR,0,0,0,0,0,3,3,49,0,0,0,0,7.9
262,Tyler Lockett,WR,SEA,0,0,0,0,0,2,4,10,0,0,0,0,3.0
263,Tyler Scott,WR,CHI,0,0,0,0,0,2,2,14,0,0,0,0,3.4
264,Tyreek Hill,WR,MIA,0,0,0,0,0,11,15,215,2,0,0,0,44.5
265,Tyrod Taylor,QB,NYG,6,0,0,2,2,0,0,0,0,0,0,0,0.24
266,Van Jefferson,WR,LAR,0,0,0,0,0,4,5,24,0,0,0,0,6.4
267,Will Dissly,TE,SEA,0,0,0,0,0,2,2,17,0,0,0,0,3.7
268,Xavier Hutchinson,WR,HOU,0,0,0,0,0,1,1,9,0,0,0,0,1.9
269,Zach Charbonnet,RB,SEA,0,0,0,0,0,0,0,0,0,11,3,0,1.1
270,Zach Ertz,TE,ARI,0,0,0,0,0,6,10,21,0,0,0,0,8.1
271,Zach Wilson,QB,NYJ,140,1,1,21,14,0,0,0,0,6,4,0,8.2
272,Zamir White,RB,LVR,0,0,0,0,0,0,0,0,0,2,1,0,0.2
273,Zay Flowers,WR,BAL,0,0,0,0,0,9,10,78,0,9,2,0,17.7
274,Zay Jones,WR,JAX,0,0,0,0,0,5,7,55,1,0,0,0,16.5
275,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
276,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
277,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
278,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
279,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
280,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
281,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
282,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
